key,description,en,pl_auto
homepage.testimonials.1.text,Texte du témoignage 1,"Excellent service! I ordered fitness equipment and I am very satisfied. The quality is excellent, the delivery was fast, and the packaging was neat. The equipment performs exactly as described and is sturdy, comfortable, and easy to use. It has greatly improved my workouts. I highly recommend it without hesitation.","Doskonała obsługa! Zamówiłem sprzęt fitness i jestem bardzo zadowolony. Jakość jest doskonała, dostawa była szybka, a opakowanie schludne. Sprzęt działa dokładnie tak, jak opisano, jest solidny, wygodny i łatwy w użyciu. Znacznie poprawił moje treningi. Gorąco polecam bez wahania."
homepage.testimonials.2.name,Nom du témoignage 2,Elodie A.,Elodie A.
homepage.testimonials.2.text,Texte du témoignage 2,"Excellent value for money. I bought a complete electric bike and everything matched the description. The bike is powerful, comfortable, and well built, with a smooth ride and good range. Delivery was on time, the packaging was secure, and the product exceeded my expectations.","Doskonały stosunek jakości do ceny. Kupiłem kompletny rower elektryczny i wszystko zgadzało się z opisem. Rower jest mocny, wygodny i solidnie wykonany, zapewnia płynną jazdę i dobry zasięg. Dostawa była terminowa, opakowanie było bezpieczne, a produkt przerósł moje oczekiwania."
homepage.testimonials.3.name,Nom du témoignage 3,Claude P.,Claude P.
homepage.testimonials.3.text,Texte du témoignage 3,"Perfect! I ordered a stand-up paddle and I’m very satisfied. The product is high quality, the price is competitive, and the delivery went smoothly. The paddle is stable, well designed, and easy to use, making it great for both beginners and experienced riders. I will definitely be back!","Idealnie! Zamówiłem deskę do stand-up paddle i jestem bardzo zadowolony. Produkt jest wysokiej jakości, cena konkurencyjna, a dostawa przebiegła bezproblemowo. Deska jest stabilna, dobrze zaprojektowana i łatwa w użyciu, dzięki czemu świetnie sprawdzi się zarówno początkującym, jak i doświadczonym riderom. Na pewno wrócę!"
homepage.testimonials.4.name,Nom du témoignage 4,Laura Q.,Laura Q.
homepage.testimonials.4.text,Texte du témoignage 4,Responsive customer service and quality products. I had a quick question before ordering and received a prompt and helpful reply. The golf equipment perfectly matches the photos and descriptions. The build quality is excellent and the products perform exactly as expected on the course. Very satisfied with my purchase!,"Szybka i sprawna obsługa klienta oraz wysokiej jakości produkty. Przed złożeniem zamówienia zadałem krótkie pytanie i otrzymałem szybką i pomocną odpowiedź. Sprzęt golfowy idealnie pasuje do zdjęć i opisów. Jakość wykonania jest doskonała, a produkty działają na polu dokładnie tak, jak oczekiwałem. Jestem bardzo zadowolony z zakupu!"
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,FAQ,,#VALUE!
homepage.faq.1.question,Question FAQ 1,What are the delivery times?,Jakie są terminy dostawy?
homepage.faq.1.answer,Réponse FAQ 1,"Delivery times vary depending on your location and the seller. Generally, standard delivery takes between 15 and 30 business days. Some sellers offer express delivery (7-15 days) for an additional fee. You can check the exact delivery times on each AliExpress product page before placing your order.",Czas dostawy różni się w zależności od lokalizacji i sprzedawcy. Standardowa dostawa trwa zazwyczaj od 15 do 30 dni roboczych. Niektórzy sprzedawcy oferują dostawę ekspresową (7-15 dni) za dodatkową opłatą. Dokładny czas dostawy można sprawdzić na stronie każdego produktu AliExpress przed złożeniem zamówienia.
homepage.faq.2.question,Question FAQ 2,What payment methods are accepted?,Jakie metody płatności są akceptowane?
homepage.faq.2.answer,Réponse FAQ 2,"AliExpress accepts several secure payment methods: credit cards (Visa, Mastercard), PayPal, bank transfer, and other methods depending on your country. All payments are secure and protected by AliExpress's Buyer Protection system. You will only be charged once your order has shipped.","AliExpress akceptuje kilka bezpiecznych metod płatności: karty kredytowe (Visa, Mastercard), PayPal, przelew bankowy i inne metody w zależności od kraju. Wszystkie płatności są bezpieczne i objęte systemem Ochrony Kupującego AliExpress. Opłata zostanie pobrana dopiero po wysłaniu zamówienia."
homepage.faq.3.question,Question FAQ 3,Is there a warranty on the products?,Czy na produkty udzielana jest gwarancja?
homepage.faq.3.answer,Réponse FAQ 3,"Yes, all products sold on AliExpress are covered by the AliExpress Buyer Guarantee. This guarantee covers defective products, products that do not match the description, or products that were not received. You generally have 15 days after receipt to open a dispute if necessary. In addition, many sellers offer their own extended warranties (6 months, 1 year, etc.), which you can find on the product page.","Tak, wszystkie produkty sprzedawane na AliExpress są objęte Gwarancją Kupującego AliExpress. Gwarancja ta obejmuje produkty wadliwe, niezgodne z opisem lub niedostarczone. Zazwyczaj masz 15 dni od otrzymania towaru na zgłoszenie sporu, jeśli zajdzie taka potrzeba. Ponadto wielu sprzedawców oferuje własne przedłużone gwarancje (6 miesięcy, 1 rok itd.), które można znaleźć na stronie produktu."
homepage.faq.4.question,Question FAQ 4,What should I do if there's a problem with my order?,"Co mam zrobić, jeśli wystąpi jakiś problem z moim zamówieniem?"
homepage.faq.4.answer,Réponse FAQ 4,"If you encounter a problem (defective product, not received, non-compliant), you can open a dispute directly from your AliExpress account in the ""My Orders"" section. AliExpress customer service will assist you in resolving the issue. Most disputes are resolved quickly, often in your favor if you provide the necessary evidence (photos, description of the problem).","Jeśli napotkasz problem (wadliwy produkt, nieotrzymany, niezgodny z zamówieniem), możesz złożyć spór bezpośrednio z konta AliExpress w sekcji „Moje zamówienia”. Obsługa klienta AliExpress pomoże Ci rozwiązać problem. Większość sporów jest rozwiązywana szybko, często na Twoją korzyść, jeśli dostarczysz niezbędne dowody (zdjęcia, opis problemu)."
homepage.faq.5.question,Question FAQ 5,Are the products authentic and of good quality?,Czy produkty są oryginalne i dobrej jakości?
homepage.faq.5.answer,Réponse FAQ 5,"We select only quality products from verified and positively rated sellers on AliExpress. Each product displays customer reviews and ratings, allowing you to check the quality before purchasing. We recommend reading reviews and checking photos shared by customers to ensure the product meets your expectations.","Wybieramy wyłącznie produkty wysokiej jakości od zweryfikowanych i pozytywnie ocenianych sprzedawców na AliExpress. Każdy produkt opatrzony jest recenzjami i ocenami klientów, co pozwala sprawdzić jakość przed zakupem. Zalecamy przeczytanie recenzji i obejrzenie zdjęć udostępnionych przez klientów, aby upewnić się, że produkt spełnia Twoje oczekiwania."
homepage.bestsellers.title,Titre de la section Best Sellers,Best Sellers,Najlepiej sprzedające się
button.view_products,"Texte bouton ""Voir les Produits""",View Products,Zobacz produkty
button.view_on_aliexpress,"Texte bouton ""Voir sur AliExpress""",View on AliExpress,Zobacz na AliExpress
button.discover_reviews,"Texte bouton ""Découvrez les X avis""",Discover the,Odkryj
button.positive_reviews,"Texte ""avis positifs sur AliExpress""",Positive reviews on AliExpress,Pozytywne recenzje na AliExpress
