key,description,en,es_auto
,,,#VALUE!
,FAQ,,#VALUE!
homepage.faq.1.question,Question FAQ 1,What are the delivery times?,¿Cuales son los tiempos de entrega?
homepage.faq.1.answer,Réponse FAQ 1,"Delivery times vary depending on your location and the seller. Generally, standard delivery takes between 15 and 30 business days. Some sellers offer express delivery (7-15 days) for an additional fee. You can check the exact delivery times on each AliExpress product page before placing your order.","Los plazos de entrega varían según tu ubicación y el vendedor. Generalmente, el envío estándar tarda entre 15 y 30 días laborables. Algunos vendedores ofrecen envío exprés (7-15 días) por un coste adicional. Puedes consultar los plazos de entrega exactos en la página de cada producto de AliExpress antes de realizar tu pedido."
homepage.faq.2.question,Question FAQ 2,What payment methods are accepted?,¿Qué métodos de pago se aceptan?
homepage.faq.2.answer,Réponse FAQ 2,"AliExpress accepts several secure payment methods: credit cards (Visa, Mastercard), PayPal, bank transfer, and other methods depending on your country. All payments are secure and protected by AliExpress's Buyer Protection system. You will only be charged once your order has shipped.","AliExpress acepta varios métodos de pago seguros: tarjetas de crédito (Visa, Mastercard), PayPal, transferencia bancaria y otros métodos según tu país. Todos los pagos son seguros y están protegidos por el sistema de Protección al Comprador de AliExpress. Solo se te cobrará una vez enviado tu pedido."
homepage.faq.3.question,Question FAQ 3,Is there a warranty on the products?,¿Hay garantía en los productos?
homepage.faq.3.answer,Réponse FAQ 3,"Yes, all products sold on AliExpress are covered by the AliExpress Buyer Guarantee. This guarantee covers defective products, products that do not match the description, or products that were not received. You generally have 15 days after receipt to open a dispute if necessary. In addition, many sellers offer their own extended warranties (6 months, 1 year, etc.), which you can find on the product page.","Sí, todos los productos vendidos en AliExpress están cubiertos por la Garantía del Comprador de AliExpress. Esta garantía cubre productos defectuosos, que no se ajusten a la descripción o que no se hayan recibido. Generalmente, tienes 15 días desde la recepción para abrir una disputa si es necesario. Además, muchos vendedores ofrecen sus propias garantías extendidas (6 meses, 1 año, etc.), que puedes encontrar en la página del producto."
homepage.faq.4.question,Question FAQ 4,What should I do if there's a problem with my order?,¿Qué debo hacer si hay un problema con mi pedido?
homepage.faq.4.answer,Réponse FAQ 4,"If you encounter a problem (defective product, not received, non-compliant), you can open a dispute directly from your AliExpress account in the ""My Orders"" section. AliExpress customer service will assist you in resolving the issue. Most disputes are resolved quickly, often in your favor if you provide the necessary evidence (photos, description of the problem).","Si tienes algún problema (producto defectuoso, no recibido, no conforme), puedes abrir una disputa directamente desde tu cuenta de AliExpress, en la sección ""Mis pedidos"". El servicio de atención al cliente de AliExpress te ayudará a resolver el problema. La mayoría de las disputas se resuelven rápidamente, a menudo a tu favor si proporcionas las pruebas necesarias (fotos, descripción del problema)."
homepage.faq.5.question,Question FAQ 5,Are the products authentic and of good quality?,¿Los productos son auténticos y de buena calidad?
homepage.faq.5.answer,Réponse FAQ 5,"We select only quality products from verified and positively rated sellers on AliExpress. Each product displays customer reviews and ratings, allowing you to check the quality before purchasing. We recommend reading reviews and checking photos shared by customers to ensure the product meets your expectations.","Seleccionamos solo productos de calidad de vendedores verificados y con buenas valoraciones en AliExpress. Cada producto cuenta con reseñas y valoraciones de clientes, lo que te permite comprobar su calidad antes de comprarlo. Te recomendamos leer reseñas y ver fotos compartidas por otros clientes para asegurarte de que el producto cumpla con tus expectativas."
homepage.bestsellers.title,Titre de la section Best Sellers,Best Sellers,Los más vendidos
button.view_products,"Texte bouton ""Voir les Produits""",View Products,Ver productos
button.view_on_aliexpress,"Texte bouton ""Voir sur AliExpress""",View on AliExpress,Ver en AliExpress
button.discover_reviews,"Texte bouton ""Découvrez les X avis""",Discover the,Descubra el
button.positive_reviews,"Texte ""avis positifs sur AliExpress""",Positive reviews on AliExpress,Reseñas positivas en AliExpress
